NAALAD2	NAALAD2_rna-XM_015280387.2
CACUL1	CACUL1_rna-NM_001031238.1
MKS1	MKS1_rna-XM_415705.6
TMEM229B	TMEM229B_rna-XM_015287330.2
ZC3H12A	ZC3H12A_rna-XM_417765.6
TMOD2	TMOD2_rna-XM_015291967.2
MUM1	MUM1_rna-NM_001282239.1
TJAP1	TJAP1_rna-XM_025149079.1
HERC4L	HERC4L_rna-XM_420476.6
RHOT2	RHOT2_rna-XM_015294668.2
CORO6	CORO6_rna-XM_015296097.2
NAE1	NAE1_rna-XM_025154179.1
UNC13A	UNC13A_rna-XM_015299749.2
RBFOX1	RBFOX1_ENSGALT00000091244.1
ZNF335	ZNF335_rna-XM_025142184.1
PNPLA8	PNPLA8_rna-XM_015281171.2
IER5L	IER5L_ENSGALT00000099080.1
IFI6	IFI6_ENSGALT00000022096.4
SLC41A2	SLC41A2_ENSGALT00000020732.4
ARHGEF11	ARHGEF11_rna-XM_015298448.2
AP5Z1	AP5Z1_ENSGALT00000050659.2
TP63	TP63_rna-XM_015291366.2
CA10	CA10_ENSGALT00000105469.1
CYP2AC1	CYP2AC1_rna-XM_025148803.1
NPHP3	NPHP3_rna-XM_418790.5
TLDC1	TLDC1_ENSGALT00000070930.2
CFAP97	CFAP97_ENSGALT00000017266.6
GTF3C6	GTF3C6_ENSGALT00000024260.3
SMOC2	SMOC2_rna-XM_004935512.3
DAB1	DAB1_rna-XM_015290933.2
GAB1	GAB1_rna-XM_004940952.3
CD8A	CD8A_rna-XM_015285951.1
GRB2	GRB2_rna-XM_025141539.1
SGIP1	SGIP1_ENSGALT00000018103.6
SLC38A9	SLC38A9_rna-XM_004937242.3
AKAP12	AKAP12_rna-XM_004935622.2
TOX3	TOX3_rna-NM_001277137.1
SEC11C	SEC11C_ENSGALT00000065383.3
GAS2	GAS2_rna-NM_001199470.1
ANO5	ANO5_ENSGALT00000076888.2
BCDIN3D	BCDIN3D_ENSGALT00000080067.2
MARCH8	MARCH8_rna-XM_015288380.2
ABL2	ABL2_rna-XM_015290509.2
ITIH6	ITIH6_rna-XM_004950771.3
ETNK1	ETNK1_ENSGALT00000021571.6
ATP7A	ATP7A_ENSGALT00000012828.6
RTKN2	RTKN2_rna-XM_025151532.1
PLA2G4F	PLA2G4F_rna-XM_426428.5
SOCS1L	SOCS1L_rna-XM_015289262.2
ATG13	ATG13_rna-XM_015287228.2
SLMAP	SLMAP_rna-XM_015293017.2
TTC13	TTC13_rna-XM_004935496.3
RASSF6	RASSF6_rna-XM_004941187.3
IFNAL1	IFNAL1_ENSGALT00000094371.1
FHOD3	FHOD3_rna-XM_015282353.2
TRDNL	TRDNL_rna-XM_025149225.1
OPHN1	OPHN1_rna-XM_015278328.2
RSU1	RSU1_rna-NM_001199591.2
RPL15	RPL15_rna-XM_015281571.2
KCNIP2	KCNIP2_ENSGALT00000047799.2
TNFRSF21	TNFRSF21_ENSGALT00000026982.5
LENG8	LENG8_rna-XM_025146296.1_shortIntron
DNAL1	DNAL1_rna-XM_015287081.2
IKZF5	IKZF5_ENSGALT00000076257.2
STARD3NL	STARD3NL_rna-XM_015281690.1
F2	F2_rna-NM_204605.1
SDF2L1	SDF2L1_rna-XM_001232857.5
TNFSF10	TNFSF10_rna-XM_015291629.2
RFC1	RFC1_rna-XM_015285650.2
ACSF2	ACSF2_ENSGALT00000038263.4
AFAP1L2	AFAP1L2_rna-XM_015288946.2
MAP2K3	MAP2K3_rna-XM_025155081.1
DPEP2	DPEP2_ENSGALT00000005435.6
LARP6	LARP6_rna-XM_015278970.2
ARMC3	ARMC3_rna-XM_004939235.3
SORBS1	SORBS1_rna-XM_015288514.2
MPST	MPST_rna-NM_001277377.1
C10orf67	C10orf67_rna-XM_025148377.1
VTI1A	VTI1A_rna-XM_015288706.2
CDCA2	CDCA2_rna-XM_015297324.2
SLC25A24	SLC25A24_ENSGALT00000096596.1
PIP5K1B	PIP5K1B_rna-XM_015280282.2
LYSMD4	LYSMD4_rna-XM_425084.6
RAB36	RAB36_ENSGALT00000010853.6
DDX20	DDX20_ENSGALT00000040229.4
NFX1	NFX1_rna-XM_025147610.1
OTUD7A	OTUD7A_rna-XM_015278999.2
TP53INP1	TP53INP1_ENSGALT00000055528.2
TMEM106B	TMEM106B_rna-XM_015281406.2
GARNL3	GARNL3_rna-XM_015279375.2
CARD11	CARD11_rna-NM_001006161.3
TACC2	TACC2_rna-XM_025151732.1
EGFR	EGFR_rna-XM_015281328.2
WDR70	WDR70_rna-NM_001195002.1
MYH1F	MYH1F_ENSGALT00000082455.2
CMTM6	CMTM6_ENSGALT00000018727.6
LGMN	LGMN_rna-XM_025150854.1
TBC1D2	TBC1D2_ENSGALT00000003009.6
MYO1H	MYO1H_rna-XM_025155694.1
PLA2G2E	PLA2G2E_rna-XM_025142544.1
MYO6	MYO6_rna-XM_025148522.1
DONSON	DONSON_rna-XM_416713.6
DSP	DSP_rna-XM_418957.6
FUBP1	FUBP1_rna-XM_015290829.1
ELMO1	ELMO1_rna-NM_001030994.1
MGRN1	MGRN1_rna-XM_015294634.2
GNPDA2	GNPDA2_rna-XM_015285481.2
LCORL	LCORL_rna-NM_001031160.1
FAM210A	FAM210A_ENSGALT00000105136.1
ABLIM1	ABLIM1_ENSGALT00000014731.6
SLC26A1	SLC26A1_rna-XM_004949339.3
RGR	RGR_rna-NM_001031216.1
ADCY7	ADCY7_rna-XM_025154319.1
SERTM1	SERTM1_rna-XM_025146827.1
C3orf70	C3orf70_rna-XM_015277166.2
GR42LP4	GR42LP4_rna-XM_025146048.1_shortIntron
DCXR	DCXR_rna-NM_204225.1
ADCK1	ADCK1_rna-XM_025150752.1
FLRT2	FLRT2_ENSGALT00000017230.6
FAM104A	FAM104A_rna-XM_025141606.1
PPP3CC	PPP3CC_rna-XM_025142949.1
MIF4GD	MIF4GD_ENSGALT00000044481.3
TPR	TPR_rna-XM_015290596.2
CYP2C18	CYP2C18_ENSGALT00000063525.2
SNN	SNN_ENSGALT00000046099.3
CLASP2	CLASP2_rna-XM_015281513.2
IL12B	IL12B_rna-XM_015293641.2
AGTR1	AGTR1_rna-XM_025153317.1
DENND2A	DENND2A_rna-XM_025156010.1
CYP4B7	CYP4B7_rna-XM_015291242.2
ATP10B	ATP10B_ENSGALT00000002539.5
FGF5	FGF5_rna-XM_025150340.1
PRRC2C	PRRC2C_rna-XM_025153045.1
MAZ	MAZ_rna-XM_025143837.1
PSMD3	PSMD3_rna-NM_001031362.1
OR52R1L3	OR52R1L3_rna-XM_004949808.3
KMO	KMO_rna-XM_025152474.1
HRH3L	HRH3L_rna-XM_004939795.3
SRFBP1	SRFBP1_rna-XM_424408.6
BCL11A	BCL11A_rna-XM_015283304.2
NFKB2	NFKB2_rna-NM_204413.1
DSCAM	DSCAM_rna-XM_015301205.1
C1QL1	C1QL1_ENSGALT00000044328.3
WBP4	WBP4_ENSGALT00000027397.4
SULF2	SULF2_rna-XM_004947050.3
WNT4	WNT4_rna-NM_204783.1
ZNF767	ZNF767_rna-XM_015281058.2
FLNB	FLNB_rna-XM_025154410.1
PLA2G3	PLA2G3_rna-XM_015275352.1
DIXDC1	DIXDC1_ENSGALT00000091329.1
PIANP	PIANP_rna-XM_025142992.1
TBKBP1	TBKBP1_rna-XM_015299472.2
ELP1	ELP1_ENSGALT00000003013.5
FAS	FAS_rna-XM_015288356.2
UGT8	UGT8_ENSGALT00000066293.2
ZBTB1	ZBTB1_rna-XM_015287880.2
ACKR1	ACKR1_rna-XM_004948304.3
GTF3C6	GTF3C6_rna-XM_015284509.2
USP6NL	USP6NL_rna-XM_025150820.1
IQUB	IQUB_rna-XM_015282146.2
SNPH	SNPH_ENSGALT00000078791.2
TRERF1	TRERF1_ENSGALT00000016090.6
DMB1	DMB1_ENSGALT00000041213.4
NOS3	NOS3_ENSGALT00000098700.1
TMEM156	TMEM156_rna-XM_025149969.1
MIOX	MIOX_rna-XM_015281706.2
RNPC3	RNPC3_ENSGALT00000008292.6
ZFP92	ZFP92_rna-XM_015296339.2
TTLL4	TTLL4_ENSGALT00000018542.6
PDLIM7	PDLIM7_rna-XM_015293807.2
PAK5	PAK5_rna-XM_015283496.2
RAB6A	RAB6A_ENSGALT00000031276.5
ACLY	ACLY_rna-XM_015299578.2
GTDC1	GTDC1_ENSGALT00000053546.2
LRCH2	LRCH2_rna-XM_015278432.2
SPINK6	SPINK6_ENSGALT00000064714.3
KLHL36	KLHL36_rna-XM_004944268.3
TPX2	TPX2_rna-XM_015296325.2
NREP	NREP_rna-NM_205391.1
UNC93B1	UNC93B1_rna-XM_004941265.3
IP6K2	IP6K2_ENSGALT00000070652.2
IGFN1	IGFN1_rna-XM_025143768.1
CDCP2	CDCP2_rna-XM_025153206.1
TPGS2	TPGS2_ENSGALT00000045400.3
LRCH2	LRCH2_rna-XM_420210.5
RAPGEF1	RAPGEF1_rna-XM_015279746.2
DLG1	DLG1_rna-XM_025153616.1
BIN1	BIN1_rna-XM_025152200.1
FAM135A	FAM135A_rna-XM_015284802.2
PPP6R3	PPP6R3_rna-XM_015286788.2
EGF	EGF_rna-NM_001001292.1
RPS6KA1L	RPS6KA1L_rna-XM_025142954.1
TCTN2	TCTN2_ENSGALT00000005096.6
IGF1	IGF1_rna-NM_001004384.2
RBMS2	RBMS2_ENSGALT00000056273.2
MARK1	MARK1_rna-XM_004935310.3
MED4	MED4_rna-XM_004938702.3
GPR82	GPR82_ENSGALT00000084514.2
CTNNAL1	CTNNAL1_rna-XM_003640772.4
NEDD8	NEDD8_rna-XM_015274782.2
FADS2	FADS2_ENSGALT00000098036.1
ECI1	ECI1_ENSGALT00000048323.2
TRIP11	TRIP11_rna-XM_421324.5
OSBPL6	OSBPL6_rna-XM_004942702.3
ATAD3A	ATAD3A_ENSGALT00000075030.2
UPB1	UPB1_rna-XM_415242.6
HNRNPH2	HNRNPH2_rna-XM_025154784.1
PPP1R2	PPP1R2_rna-XM_015291390.2
FANCG	FANCG_rna-NM_204378.1
ZBTB45	ZBTB45_rna-XM_025145909.1
FBXO11	FBXO11_rna-XM_015278120.2
HSP90B1	HSP90B1_rna-NM_204289.1
LRMDA	LRMDA_ENSGALT00000091693.1
TSEN15	TSEN15_ENSGALT00000007636.7
FAM13A	FAM13A_rna-XM_015276614.2
RET	RET_rna-XM_015287959.2
TSPAN4	TSPAN4_rna-XM_025151366.1
SNAPC4	SNAPC4_rna-XM_415416.6
PRKCD	PRKCD_ENSGALT00000003137.5
GNG4	GNG4_ENSGALT00000092714.1
PDXDC1	PDXDC1_rna-XM_004945067.3
GALNT11	GALNT11_rna-XM_015281236.2
ACOD1	ACOD1_rna-NM_001030821.1
MPP2	MPP2_rna-XM_015299618.1
PRDM16	PRDM16_rna-XM_004947378.3
RNF41	RNF41_rna-XM_015300301.2
PCARE	PCARE_ENSGALT00000014656.7
NYX	NYX_rna-XM_015301703.1
DRC3	DRC3_ENSGALT00000067670.3
TGM4	TGM4_rna-NM_001006368.1
TCP11L2	TCP11L2_rna-XM_015285929.2
KAT2B	KAT2B_ENSGALT00000059415.2
RAB1B	RAB1B_rna-NM_001270662.1
AMDHD2	AMDHD2_ENSGALT00000015029.7
CYTH1	CYTH1_rna-XM_025141607.1
ZFYVE26	ZFYVE26_rna-XM_025151139.1
DOCK4	DOCK4_rna-XM_015282398.2
EEF1AKMT4	EEF1AKMT4_ENSGALT00000045745.3
KTN1	KTN1_rna-XM_015287309.2
STON1	STON1_rna-XM_015278012.2
KCNC1	KCNC1_rna-XM_004941426.3
SUSD6	SUSD6_rna-XM_015287592.2
MYO7A	MYO7A_rna-XM_015280880.2
VWA1	VWA1_ENSGALT00000002321.6
SORBS2	SORBS2_rna-XM_015285583.2
TAF1A	TAF1A_rna-NM_001277561.1
COG1	COG1_rna-XM_015279896.2
JADE1	JADE1_rna-XM_015276624.2
EDNRB2	EDNRB2_rna-XM_015278149.2
G3BP1	G3BP1_rna-XM_015293783.2
RBFOX2	RBFOX2_rna-XM_015288028.2
LUC7L3	LUC7L3_rna-NM_001031530.1
C14orf132	C14orf132_ENSGALT00000068136.3
GPR183	GPR183_rna-XM_001231943.4
TMPRSS13	TMPRSS13_rna-XM_015298242.1
ASB15	ASB15_rna-XM_415996.4
PPFIA1	PPFIA1_rna-XM_015286878.2
AAK1	AAK1_rna-XM_025142912.1
GART	GART_rna-XM_025154010.1
SERBP1	SERBP1_rna-NM_001031293.1
CSNK2A2	CSNK2A2_rna-XM_015292291.2
ESD	ESD_rna-NM_001277791.1
FAM13A	FAM13A_ENSGALT00000016897.6
FOXS1	FOXS1_rna-XM_425714.5
DTNA	DTNA_rna-XM_025147952.1
PLEK	PLEK_rna-NM_204863.1
PPP1R21	PPP1R21_rna-XM_015278064.2
HMOX1	HMOX1_ENSGALT00000037765.4
DDX59	DDX59_rna-XM_015290360.2
SETD2	SETD2_rna-XM_015281125.2
BACE1	BACE1_rna-XM_015298236.2
ECE1	ECE1_rna-NM_204717.1
NARF	NARF_ENSGALT00000002433.6
RASAL1	RASAL1_rna-XM_015294885.2
RALGDS	RALGDS_rna-XM_015279769.2
GKAP1	GKAP1_rna-XM_025145009.1
SS2	SS2_ENSGALT00000004802.2
TMEM150C	TMEM150C_rna-XM_025149988.1
MND1	MND1_rna-XM_025149581.1
CLASP1	CLASP1_rna-XM_015290014.2
GALNT13	GALNT13_rna-XM_015290207.2
KANK3	KANK3_rna-XM_025144400.1
GTPBP1	GTPBP1_ENSGALT00000059122.2
ISLR	ISLR_rna-XM_015279034.2
RAB3IL1	RAB3IL1_rna-XM_025150697.1
PHIP	PHIP_ENSGALT00000072453.2
CACNA1E	CACNA1E_rna-XM_015290479.2
ZBTB49	ZBTB49_rna-XM_015285814.1
CAPN3	CAPN3_rna-NM_001004405.2
GTDC1	GTDC1_rna-XM_025152232.1
TNS3	TNS3_rna-XM_015275851.2
PCTP	PCTP_rna-XM_415652.6
PCIF1	PCIF1_ENSGALT00000039136.4
CIT	CIT_ENSGALT00000093998.1
ARPP21	ARPP21_rna-XM_004939495.3
PTCHD3	PTCHD3_rna-XM_425978.6
RPL15	RPL15_rna-NM_001305165.1
KIF27	KIF27_ENSGALT00000102472.1
LAMB2	LAMB2_rna-XM_025154713.1
ZNF385B	ZNF385B_rna-XM_025152685.1
KCNJ13	KCNJ13_ENSGALT00000002259.6
RBBP6	RBBP6_rna-XM_025155139.1
STEAP4	STEAP4_ENSGALT00000105504.1
MINPP1	MINPP1_rna-NM_204644.1
IL9	IL9_rna-XM_015293972.2
METTL15	METTL15_ENSGALT00000019847.5
RAB11FIP4	RAB11FIP4_rna-XM_025141765.1
SMIM15	SMIM15_rna-XM_015277370.2
MARCH4	MARCH4_ENSGALT00000056428.3
ACTN1	ACTN1_rna-XM_015287259.2
ST3GAL3	ST3GAL3_rna-XM_015290985.2
KCNMB4	KCNMB4_rna-NM_001199630.1
FDPS	FDPS_rna-XM_015298649.2
SEC31A	SEC31A_rna-XM_015276253.2
MBD5	MBD5_ENSGALT00000020351.6
CDCP2	CDCP2_ENSGALT00000017490.6
NCOA5	NCOA5_rna-XM_004947206.3
CCDC170	CCDC170_rna-XM_004935629.3
MAPK6	MAPK6_ENSGALT00000061654.2
SCAF4	SCAF4_rna-NM_001012822.1
POU1F1	POU1F1_ENSGALT00000080535.2
ALG10	ALG10_rna-NM_001031394.1
CDCP1	CDCP1_ENSGALT00000074058.2
BLEC3	BLEC3_rna-XM_025155753.1
NSUN6	NSUN6_rna-XM_025148390.1
MTMR7	MTMR7_rna-XM_025149824.1
LOH11CR2A	LOH11CR2A_rna-XM_004948458.3
CARD10	CARD10_rna-XM_015288385.2
FBXO2	FBXO2_rna-XM_015297215.2
AKAP8	AKAP8_rna-XM_025145759.1
API5	API5_rna-NM_001006474.1
IFT43	IFT43_rna-XM_015287704.2
CLIC6	CLIC6_ENSGALT00000059588.3
NLRP1L	NLRP1L_rna-XM_025153626.1
NR2C1	NR2C1_rna-NM_204124.1
ENOX1	ENOX1_rna-XM_025146791.1
STRIP1	STRIP1_rna-XM_015299152.2
LRRC4C	LRRC4C_rna-XM_025150988.1
RGS7	RGS7_rna-XM_015283941.2
RFLNB	RFLNB_rna-XM_415867.6
LCOR	LCOR_rna-XM_025151751.1
PHF14	PHF14_rna-NM_001012856.2
MAPK1	MAPK1_rna-NM_204150.1
BRPF3	BRPF3_ENSGALT00000093031.1
DNAJC25	DNAJC25_rna-XM_003643082.4
FAM126A	FAM126A_rna-XM_015281438.2
RNF122	RNF122_rna-XM_015297436.2
TMEM17	TMEM17_rna-NM_001276388.1
ABCC6	ABCC6_rna-NM_001252080.2
INTS13	INTS13_rna-XM_416439.6
TP53BP1	TP53BP1_ENSGALT00000049272.3
APAF1	APAF1_rna-XM_416167.6
ARL6IP5	ARL6IP5_rna-NM_001012605.1_shortIntron
PSME4	PSME4_rna-XM_015283354.2
NDUFB3	NDUFB3_ENSGALT00000013407.6
GRIN2A	GRIN2A_rna-XM_025155258.1
SLC7A1	SLC7A1_rna-XM_015277937.2
EEF1D	EEF1D_rna-XM_025148204.1
ITGA11	ITGA11_rna-XM_015292220.1
HSPA9	HSPA9_rna-NM_001006147.1
NCOA1	NCOA1_rna-XM_025148795.1
SCAI	SCAI_ENSGALT00000001535.6
OSTN	OSTN_rna-NM_001098608.1
SLC25A40	SLC25A40_rna-XM_025148402.1
SLC10A7	SLC10A7_ENSGALT00000097272.1
SLC7A3	SLC7A3_rna-XM_015278426.2
RPGR	RPGR_rna-XM_025152032.1
CHRD	CHRD_rna-XM_025153315.1
MRPL57	MRPL57_rna-XM_004938806.2
MBD5	MBD5_rna-XM_025152452.1
NUP85	NUP85_rna-XM_015295401.2
