GeneID	TranscriptID.UNKNOWN
ENSMUSG00000057715	ENSMUST00000048613.A830018L16Rik
ENSMUSG00000057715	ENSMUST00000135014.A830018L16Rik
ENSMUSG00000057715	ENSMUST00000137824.A830018L16Rik
ENSMUSG00000057715	ENSMUST00000179089.A830018L16Rik
ENSMUSG00000016918	ENSMUST00000177608.Sulf1
ENSMUSG00000016918	ENSMUST00000186051.Sulf1
ENSMUSG00000025938	ENSMUST00000188454.Slco5a1
ENSMUSG00000025938	ENSMUST00000115402.Slco5a1
ENSMUSG00000025938	ENSMUST00000136197.Slco5a1
ENSMUSG00000042414	ENSMUST00000047577.Prdm14
ENSMUSG00000005886	ENSMUST00000068304.Ncoa2
ENSMUSG00000005886	ENSMUST00000006037.Ncoa2
ENSMUSG00000025935	ENSMUST00000027068.Tram1
ENSMUSG00000025937	ENSMUST00000027071.Lactb2
ENSMUSG00000067813	ENSMUST00000088542.Xkr9
ENSMUSG00000025932	ENSMUST00000027066.Eya1
ENSMUSG00000025932	ENSMUST00000168081.Eya1
ENSMUSG00000025932	ENSMUST00000080664.Eya1
ENSMUSG00000025930	ENSMUST00000027062.Msc
ENSMUSG00000032769	ENSMUST00000041447.Trpa1
ENSMUSG00000032769	ENSMUST00000235071.Trpa1
ENSMUSG00000092083	ENSMUST00000175681.Kcnb2
ENSMUSG00000025925	ENSMUST00000188371.Terf1
ENSMUSG00000025925	ENSMUST00000027057.Terf1
ENSMUSG00000032719	ENSMUST00000040695.Sbspon
ENSMUSG00000067795	ENSMUST00000115367.4930444P10Rik
ENSMUSG00000067795	ENSMUST00000145070.4930444P10Rik
ENSMUSG00000043716	ENSMUST00000058437.Rpl7
ENSMUSG00000025921	ENSMUST00000027053.Rdh10
ENSMUSG00000025920	ENSMUST00000162751.Stau2
ENSMUSG00000025920	ENSMUST00000162435.Stau2
ENSMUSG00000025920	ENSMUST00000159558.Stau2
ENSMUSG00000025920	ENSMUST00000128957.Stau2
ENSMUSG00000025920	ENSMUST00000131257.Stau2
ENSMUSG00000025939	ENSMUST00000182554.Ube2w
ENSMUSG00000025939	ENSMUST00000117146.Ube2w
ENSMUSG00000079658	ENSMUST00000188641.Eloc
ENSMUSG00000079658	ENSMUST00000187910.Eloc
ENSMUSG00000025940	ENSMUST00000177501.Tmem70
ENSMUSG00000025940	ENSMUST00000065373.Tmem70
ENSMUSG00000025779	ENSMUST00000026881.Ly96
ENSMUSG00000025779	ENSMUST00000190366.Ly96
ENSMUSG00000042686	ENSMUST00000038382.Jph1
ENSMUSG00000025777	ENSMUST00000026879.Gdap1
ENSMUSG00000067780	ENSMUST00000088476.Pi15
ENSMUSG00000025776	ENSMUST00000095075.Crispld1
ENSMUSG00000025774	ENSMUST00000026876.Crisp4
ENSMUSG00000025774	ENSMUST00000115340.Crisp4
ENSMUSG00000025774	ENSMUST00000115344.Crisp4
ENSMUSG00000073735	ENSMUST00000097818.Defb18
ENSMUSG00000067773	ENSMUST00000088463.Defb41
ENSMUSG00000067773	ENSMUST00000097817.Defb41
ENSMUSG00000042596	ENSMUST00000037294.Tfap2d
ENSMUSG00000025927	ENSMUST00000027059.Tfap2b
ENSMUSG00000025927	ENSMUST00000187754.Tfap2b
ENSMUSG00000025927	ENSMUST00000064976.Tfap2b
ENSMUSG00000043760	ENSMUST00000088448.Pkhd1
ENSMUSG00000025929	ENSMUST00000027061.Il17a
ENSMUSG00000041872	ENSMUST00000039046.Il17f
ENSMUSG00000041859	ENSMUST00000053266.Mcm3
ENSMUSG00000025931	ENSMUST00000189400.Paqr8
ENSMUSG00000041809	ENSMUST00000038447.Efhc1
ENSMUSG00000041779	ENSMUST00000037998.Tram2
ENSMUSG00000025933	ENSMUST00000027065.Tmem14a
ENSMUSG00000025933	ENSMUST00000027064.Tmem14a
ENSMUSG00000025934	ENSMUST00000027067.Gsta3
ENSMUSG00000067750	ENSMUST00000088407.Khdc1a
ENSMUSG00000041722	ENSMUST00000070223.Khdc1c
ENSMUSG00000085079	ENSMUST00000147615.Khdc1b
ENSMUSG00000028033	ENSMUST00000029667.Kcnq5
ENSMUSG00000028033	ENSMUST00000115300.Kcnq5
ENSMUSG00000028033	ENSMUST00000173058.Kcnq5
ENSMUSG00000028033	ENSMUST00000173404.Kcnq5
ENSMUSG00000041670	ENSMUST00000097811.Rims1
ENSMUSG00000073730	ENSMUST00000073179.Ppp1r14bl
ENSMUSG00000026158	ENSMUST00000027343.Ogfrl1
ENSMUSG00000026156	ENSMUST00000063663.B3gat2
ENSMUSG00000026156	ENSMUST00000140583.B3gat2
ENSMUSG00000026155	ENSMUST00000027339.Smap1
ENSMUSG00000026155	ENSMUST00000129254.Smap1
ENSMUSG00000026154	ENSMUST00000027338.Sdhaf4
ENSMUSG00000026153	ENSMUST00000187752.Fam135a
ENSMUSG00000026153	ENSMUST00000187369.Fam135a
ENSMUSG00000026153	ENSMUST00000027337.Fam135a
ENSMUSG00000026147	ENSMUST00000054588.Col9a1
ENSMUSG00000026147	ENSMUST00000088349.Col9a1
ENSMUSG00000026141	ENSMUST00000115244.Col19a1
ENSMUSG00000026141	ENSMUST00000051344.Col19a1
ENSMUSG00000073725	ENSMUST00000191471.Lmbrd1
ENSMUSG00000073725	ENSMUST00000095062.Lmbrd1
ENSMUSG00000033569	ENSMUST00000151309.Adgrb3
ENSMUSG00000073722	ENSMUST00000097801.4931408C20Rik
ENSMUSG00000048411	ENSMUST00000059937.Gm597
ENSMUSG00000048874	ENSMUST00000186733.Phf3
ENSMUSG00000026064	ENSMUST00000232841.Ptp4a1
ENSMUSG00000117310	ENSMUST00000027232.Ptp4a1
ENSMUSG00000117091	ENSMUST00000178317.Gm5698
ENSMUSG00000086727	ENSMUST00000233331.4931428L18Rik
ENSMUSG00000050217	ENSMUST00000062560.Lgsn
ENSMUSG00000026063	ENSMUST00000027230.Pih1d3
ENSMUSG00000026058	ENSMUST00000027226.Khdrbs2
ENSMUSG00000091318	ENSMUST00000171322.Gm5415
ENSMUSG00000026134	ENSMUST00000027312.Prim2
ENSMUSG00000004768	ENSMUST00000088287.Rab23
ENSMUSG00000042215	ENSMUST00000044691.Bag2
ENSMUSG00000042197	ENSMUST00000019861.Zfp451
ENSMUSG00000042197	ENSMUST00000044455.Zfp451
ENSMUSG00000042182	ENSMUST00000062289.Bend6
ENSMUSG00000026131	ENSMUST00000183034.Dst
ENSMUSG00000026131	ENSMUST00000097786.Dst
ENSMUSG00000026131	ENSMUST00000115104.Dst
ENSMUSG00000026131	ENSMUST00000097785.Dst
ENSMUSG00000026131	ENSMUST00000185269.Dst
ENSMUSG00000042111	ENSMUST00000042493.Ccdc115
ENSMUSG00000026127	ENSMUST00000027303.Imp4
ENSMUSG00000026126	ENSMUST00000027302.Ptpn18
ENSMUSG00000026125	ENSMUST00000027299.Prss39
ENSMUSG00000026124	ENSMUST00000027298.Cfc1
ENSMUSG00000037529	ENSMUST00000047840.Prss40
ENSMUSG00000045174	ENSMUST00000052670.Amer3
ENSMUSG00000037509	ENSMUST00000159747.Arhgef4
ENSMUSG00000037509	ENSMUST00000047664.Arhgef4
ENSMUSG00000118272	ENSMUST00000211073.Arhgef4
ENSMUSG00000037503	ENSMUST00000167518.Fam168b
ENSMUSG00000037503	ENSMUST00000047534.Fam168b
ENSMUSG00000037503	ENSMUST00000170092.Fam168b
ENSMUSG00000026123	ENSMUST00000156687.Plekhb2
ENSMUSG00000026123	ENSMUST00000027297.Plekhb2
ENSMUSG00000045216	ENSMUST00000088174.Hs6st1
ENSMUSG00000037470	ENSMUST00000046875.Uggt1
ENSMUSG00000047180	ENSMUST00000056946.Neurl3
ENSMUSG00000037447	ENSMUST00000097778.Arid5a
ENSMUSG00000037447	ENSMUST00000115031.Arid5a
ENSMUSG00000037447	ENSMUST00000115032.Arid5a
ENSMUSG00000037447	ENSMUST00000137906.Arid5a
ENSMUSG00000010453	ENSMUST00000185912.Kansl3
ENSMUSG00000010453	ENSMUST00000010597.Kansl3
ENSMUSG00000010453	ENSMUST00000186470.Kansl3
ENSMUSG00000010453	ENSMUST00000187628.Kansl3
ENSMUSG00000037432	ENSMUST00000179162.Fer1l5
ENSMUSG00000001143	ENSMUST00000125304.Lman2l
ENSMUSG00000001143	ENSMUST00000115011.Lman2l
ENSMUSG00000037408	ENSMUST00000153128.Cnnm4
ENSMUSG00000001138	ENSMUST00000001166.Cnnm3
ENSMUSG00000001138	ENSMUST00000097776.Cnnm3
ENSMUSG00000109510	ENSMUST00000191849.Gm42417
ENSMUSG00000067653	ENSMUST00000054665.Ankrd23
ENSMUSG00000067653	ENSMUST00000194853.Ankrd23
ENSMUSG00000079610	ENSMUST00000001172.Ankrd39
ENSMUSG00000079610	ENSMUST00000194894.Ankrd39
ENSMUSG00000026121	ENSMUST00000191677.Sema4c
ENSMUSG00000046337	ENSMUST00000170295.Fam178b
ENSMUSG00000046337	ENSMUST00000114981.Fam178b
ENSMUSG00000061518	ENSMUST00000193210.Cox5b
ENSMUSG00000037351	ENSMUST00000043951.Actr1b
ENSMUSG00000102416	ENSMUST00000208994.4933424G06Rik
ENSMUSG00000026117	ENSMUST00000027291.Zap70
ENSMUSG00000026116	ENSMUST00000194563.Tmem131
ENSMUSG00000050122	ENSMUST00000238500.Vwa3b
ENSMUSG00000026114	ENSMUST00000195272.Cnga3
ENSMUSG00000026114	ENSMUST00000027288.Cnga3
ENSMUSG00000026113	ENSMUST00000027287.Inpp4a
ENSMUSG00000026113	ENSMUST00000140264.Inpp4a
ENSMUSG00000026113	ENSMUST00000132401.Inpp4a
ENSMUSG00000026113	ENSMUST00000136846.Inpp4a
ENSMUSG00000026113	ENSMUST00000132615.Inpp4a
ENSMUSG00000026113	ENSMUST00000137266.Inpp4a
ENSMUSG00000026112	ENSMUST00000027286.Coa5
ENSMUSG00000026111	ENSMUST00000027285.Unc50
ENSMUSG00000026110	ENSMUST00000151952.Mgat4a
ENSMUSG00000026110	ENSMUST00000154819.Mgat4a
ENSMUSG00000026090	ENSMUST00000162875.2010300C02Rik
ENSMUSG00000060771	ENSMUST00000041815.Tsga10
ENSMUSG00000060771	ENSMUST00000114902.Tsga10
ENSMUSG00000060771	ENSMUST00000239367.Tsga10
ENSMUSG00000060771	ENSMUST00000088072.Tsga10
ENSMUSG00000060771	ENSMUST00000123082.Tsga10
ENSMUSG00000060771	ENSMUST00000155852.Tsga10
ENSMUSG00000037216	ENSMUST00000041621.Lipt1
ENSMUSG00000026088	ENSMUST00000139725.Mitd1
ENSMUSG00000026087	ENSMUST00000027256.Mrpl30
ENSMUSG00000061584	ENSMUST00000078307.Lyg2
ENSMUSG00000026085	ENSMUST00000027254.Lyg1
ENSMUSG00000026085	ENSMUST00000114894.Lyg1
ENSMUSG00000058407	ENSMUST00000162031.Txndc9
ENSMUSG00000058407	ENSMUST00000193832.Txndc9
ENSMUSG00000026083	ENSMUST00000027252.Eif5b
ENSMUSG00000026082	ENSMUST00000027251.Rev1
ENSMUSG00000037138	ENSMUST00000095027.Aff3
ENSMUSG00000037138	ENSMUST00000238906.Aff3
ENSMUSG00000037138	ENSMUST00000039827.Aff3
ENSMUSG00000048814	ENSMUST00000147695.Lonrf2
ENSMUSG00000026080	ENSMUST00000027249.Chst10
ENSMUSG00000026080	ENSMUST00000194361.Chst10
ENSMUSG00000067604	ENSMUST00000088029.Nms
ENSMUSG00000026078	ENSMUST00000027247.Pdcl3
ENSMUSG00000026077	ENSMUST00000056815.Npas2
ENSMUSG00000073702	ENSMUST00000086535.Rpl31
ENSMUSG00000073702	ENSMUST00000194746.Rpl31
ENSMUSG00000003134	ENSMUST00000054462.Tbc1d8
ENSMUSG00000003134	ENSMUST00000193823.Tbc1d8
ENSMUSG00000003135	ENSMUST00000161515.Cnot11
ENSMUSG00000048234	ENSMUST00000062525.Rnf149
ENSMUSG00000048234	ENSMUST00000195705.Rnf149
ENSMUSG00000050967	ENSMUST00000053355.Creg2
ENSMUSG00000057173	ENSMUST00000151913.Rfx8
ENSMUSG00000091937	ENSMUST00000171319.Gm3646
ENSMUSG00000026074	ENSMUST00000163854.Map4k4
ENSMUSG00000026074	ENSMUST00000168431.Map4k4
ENSMUSG00000026074	ENSMUST00000193682.Map4k4
ENSMUSG00000026074	ENSMUST00000195860.Map4k4
ENSMUSG00000026074	ENSMUST00000195259.Map4k4
ENSMUSG00000026074	ENSMUST00000195636.Map4k4
ENSMUSG00000026074	ENSMUST00000192509.Map4k4
ENSMUSG00000026073	ENSMUST00000027243.Il1r2
ENSMUSG00000026072	ENSMUST00000027241.Il1r1
ENSMUSG00000026072	ENSMUST00000114795.Il1r1
ENSMUSG00000070942	ENSMUST00000194296.Il1rl2
ENSMUSG00000026069	ENSMUST00000097772.Il1rl1
ENSMUSG00000026070	ENSMUST00000195684.Il18r1
ENSMUSG00000026070	ENSMUST00000108044.Il18r1
ENSMUSG00000026068	ENSMUST00000027237.Il18rap
ENSMUSG00000026065	ENSMUST00000027233.Slc9a4
ENSMUSG00000026062	ENSMUST00000027231.Slc9a2
ENSMUSG00000041945	ENSMUST00000039672.Mfsd9
ENSMUSG00000079588	ENSMUST00000114765.Tmem182
ENSMUSG00000045515	ENSMUST00000239323.Pou3f3
ENSMUSG00000060679	ENSMUST00000057208.Mrps9
ENSMUSG00000041907	ENSMUST00000179766.Gpr45
ENSMUSG00000070939	ENSMUST00000095014.Tgfbrap1
ENSMUSG00000010290	ENSMUST00000010434.AI597479
ENSMUSG00000008136	ENSMUST00000185893.Fhl2
ENSMUSG00000066877	ENSMUST00000086421.Nck2
ENSMUSG00000026051	ENSMUST00000027217.Ecrg4
ENSMUSG00000057363	ENSMUST00000126008.Uxs1
ENSMUSG00000041763	ENSMUST00000087933.Tpp2
ENSMUSG00000041763	ENSMUST00000188313.Tpp2
ENSMUSG00000047343	ENSMUST00000061421.Mettl21c
ENSMUSG00000091844	ENSMUST00000238662.Gm8251
ENSMUSG00000026049	ENSMUST00000156392.Tex30
ENSMUSG00000026047	ENSMUST00000065767.Poglut2
ENSMUSG00000026047	ENSMUST00000027213.Poglut2
ENSMUSG00000041684	ENSMUST00000035991.Bivm
ENSMUSG00000026048	ENSMUST00000027214.Ercc5
ENSMUSG00000046828	ENSMUST00000054801.Mettl21e
ENSMUSG00000056870	ENSMUST00000074525.Gulp1
ENSMUSG00000056870	ENSMUST00000160854.Gulp1
ENSMUSG00000056870	ENSMUST00000162600.Gulp1
ENSMUSG00000026043	ENSMUST00000087883.Col3a1
ENSMUSG00000026042	ENSMUST00000086430.Col5a2
ENSMUSG00000025995	ENSMUST00000027139.Wdr75
ENSMUSG00000098549	ENSMUST00000183590.Gm5269
ENSMUSG00000025993	ENSMUST00000027137.Slc40a1
ENSMUSG00000041144	ENSMUST00000069293.Dnah7b
ENSMUSG00000041144	ENSMUST00000238212.Dnah7b
ENSMUSG00000101337	ENSMUST00000189749.Dnah7c
ENSMUSG00000025986	ENSMUST00000027131.Slc39a10
ENSMUSG00000026109	ENSMUST00000081851.Tmeff2
ENSMUSG00000045954	ENSMUST00000051572.Cavin2
ENSMUSG00000026107	ENSMUST00000027279.Nabp1
ENSMUSG00000018417	ENSMUST00000046390.Myo1b
ENSMUSG00000018417	ENSMUST00000114537.Myo1b
ENSMUSG00000018417	ENSMUST00000114541.Myo1b
ENSMUSG00000018417	ENSMUST00000018561.Myo1b
ENSMUSG00000062939	ENSMUST00000168302.Stat4
ENSMUSG00000026104	ENSMUST00000186574.Stat1
ENSMUSG00000026104	ENSMUST00000070968.Stat1
ENSMUSG00000026104	ENSMUST00000186057.Stat1
ENSMUSG00000026103	ENSMUST00000114513.Gls
ENSMUSG00000026103	ENSMUST00000114512.Gls
ENSMUSG00000026103	ENSMUST00000114510.Gls
ENSMUSG00000002881	ENSMUST00000186764.Nab1
ENSMUSG00000002881	ENSMUST00000069792.Nab1
ENSMUSG00000002881	ENSMUST00000170269.Nab1
ENSMUSG00000043015	ENSMUST00000165859.Nemp2
ENSMUSG00000041439	ENSMUST00000156876.Mfsd6
ENSMUSG00000041439	ENSMUST00000087701.Mfsd6
ENSMUSG00000026102	ENSMUST00000027271.Inpp1
ENSMUSG00000041426	ENSMUST00000159352.Hibch
ENSMUSG00000041426	ENSMUST00000044478.Hibch
ENSMUSG00000043629	ENSMUST00000191441.1700019D03Rik
ENSMUSG00000026100	ENSMUST00000027269.Mstn
ENSMUSG00000060715	ENSMUST00000072235.1700019A02Rik
ENSMUSG00000060715	ENSMUST00000190748.1700019A02Rik
ENSMUSG00000026098	ENSMUST00000027267.Pms1
ENSMUSG00000026097	ENSMUST00000027266.Ormdl1
ENSMUSG00000100679	ENSMUST00000190734.Gm28778
ENSMUSG00000026096	ENSMUST00000027265.Osgepl1
ENSMUSG00000099913	ENSMUST00000144660.Gm28551
ENSMUSG00000026095	ENSMUST00000027264.Asnsd1
ENSMUSG00000117809	ENSMUST00000236737.Gm50478
ENSMUSG00000096141	ENSMUST00000094964.Dnah7a
ENSMUSG00000026094	ENSMUST00000027263.Stk17b
ENSMUSG00000042807	ENSMUST00000087659.Hecw2
ENSMUSG00000025983	ENSMUST00000027128.Ccdc150
ENSMUSG00000025983	ENSMUST00000163072.Ccdc150
ENSMUSG00000041303	ENSMUST00000041638.Gtf3c3
ENSMUSG00000109809	ENSMUST00000210156.Gm34066
ENSMUSG00000073678	ENSMUST00000097739.Pgap1
ENSMUSG00000052331	ENSMUST00000179030.Ankrd44
ENSMUSG00000052331	ENSMUST00000044359.Ankrd44
ENSMUSG00000025982	ENSMUST00000027127.Sf3b1
ENSMUSG00000025981	ENSMUST00000087617.Coq10b
ENSMUSG00000025981	ENSMUST00000027125.Coq10b
ENSMUSG00000025980	ENSMUST00000027123.Hspd1
ENSMUSG00000073676	ENSMUST00000075242.Hspe1
ENSMUSG00000025979	ENSMUST00000159311.Mob4
ENSMUSG00000025979	ENSMUST00000162364.Mob4
ENSMUSG00000025978	ENSMUST00000027121.Rftn2
ENSMUSG00000046994	ENSMUST00000061334.Mars2
ENSMUSG00000025977	ENSMUST00000087585.Boll
ENSMUSG00000038349	ENSMUST00000042986.Plcl1
ENSMUSG00000045336	ENSMUST00000062085.Hsfy2
ENSMUSG00000038331	ENSMUST00000042857.Satb2
ENSMUSG00000038331	ENSMUST00000114415.Satb2
ENSMUSG00000038331	ENSMUST00000177424.Satb2
ENSMUSG00000038323	ENSMUST00000042734.1700066M21Rik
ENSMUSG00000048495	ENSMUST00000162686.Tyw5
ENSMUSG00000025971	ENSMUST00000027114.Maip1
ENSMUSG00000038305	ENSMUST00000163239.Spats2l
ENSMUSG00000038305	ENSMUST00000170139.Spats2l
ENSMUSG00000038305	ENSMUST00000164302.Spats2l
ENSMUSG00000038305	ENSMUST00000167085.Spats2l
ENSMUSG00000054770	ENSMUST00000114410.Kctd18
ENSMUSG00000026039	ENSMUST00000027202.Sgo2a
ENSMUSG00000063558	ENSMUST00000001027.Aox1
ENSMUSG00000064294	ENSMUST00000040999.Aox3
ENSMUSG00000038242	ENSMUST00000040442.Aox4
ENSMUSG00000079554	ENSMUST00000114366.Aox2
ENSMUSG00000051223	ENSMUST00000050552.Bzw1
ENSMUSG00000051223	ENSMUST00000186949.Bzw1
ENSMUSG00000026034	ENSMUST00000034868.Clk1
ENSMUSG00000026035	ENSMUST00000081677.Ppil3
ENSMUSG00000026036	ENSMUST00000087521.Nif3l1
ENSMUSG00000026036	ENSMUST00000114337.Nif3l1
ENSMUSG00000026037	ENSMUST00000027198.Orc2
ENSMUSG00000026037	ENSMUST00000114325.Orc2
ENSMUSG00000038174	ENSMUST00000161600.Fam126b
ENSMUSG00000038174	ENSMUST00000097724.Fam126b
ENSMUSG00000026032	ENSMUST00000027193.Ndufb3
ENSMUSG00000047528	ENSMUST00000188772.Flacc1
ENSMUSG00000047528	ENSMUST00000191565.Flacc1
ENSMUSG00000047528	ENSMUST00000055313.Flacc1
ENSMUSG00000026031	ENSMUST00000097722.Cflar
ENSMUSG00000026031	ENSMUST00000114313.Cflar
ENSMUSG00000026029	ENSMUST00000027189.Casp8
ENSMUSG00000026029	ENSMUST00000191201.Casp8
ENSMUSG00000026028	ENSMUST00000027186.Trak2
ENSMUSG00000026028	ENSMUST00000174120.Trak2
ENSMUSG00000026027	ENSMUST00000027185.Stradb
ENSMUSG00000072295	ENSMUST00000238601.C2cd6
ENSMUSG00000072295	ENSMUST00000238949.C2cd6
ENSMUSG00000072295	ENSMUST00000097080.C2cd6
ENSMUSG00000038079	ENSMUST00000094917.Tmem237
ENSMUSG00000038079	ENSMUST00000087475.Tmem237
ENSMUSG00000038079	ENSMUST00000186794.Tmem237
ENSMUSG00000079550	ENSMUST00000191200.Mpp4
ENSMUSG00000079550	ENSMUST00000078874.Mpp4
ENSMUSG00000079550	ENSMUST00000114275.Mpp4
ENSMUSG00000079550	ENSMUST00000066374.Mpp4
ENSMUSG00000079550	ENSMUST00000186477.Mpp4
ENSMUSG00000026024	ENSMUST00000027178.Als2
ENSMUSG00000026023	ENSMUST00000160662.Cdk15
ENSMUSG00000026023	ENSMUST00000114248.Cdk15
ENSMUSG00000041075	ENSMUST00000114246.Fzd7
ENSMUSG00000047361	ENSMUST00000114243.Gm973
ENSMUSG00000026021	ENSMUST00000091374.Sumo1
ENSMUSG00000026020	ENSMUST00000027174.Nop58
ENSMUSG00000026020	ENSMUST00000191142.Nop58
ENSMUSG00000067336	ENSMUST00000087435.Bmpr2
ENSMUSG00000041040	ENSMUST00000036540.Fam117b
ENSMUSG00000026018	ENSMUST00000191251.Ica1l
ENSMUSG00000026018	ENSMUST00000189776.Ica1l
ENSMUSG00000026019	ENSMUST00000027173.Wdr12
ENSMUSG00000026017	ENSMUST00000187978.Carf
ENSMUSG00000026017	ENSMUST00000027171.Carf
ENSMUSG00000073664	ENSMUST00000160834.Nbeal1
ENSMUSG00000049439	ENSMUST00000060608.Cyp20a1
ENSMUSG00000026782	ENSMUST00000052332.Abi2
ENSMUSG00000026782	ENSMUST00000188594.Abi2
ENSMUSG00000026782	ENSMUST00000188618.Abi2
ENSMUSG00000026782	ENSMUST00000189980.Abi2
ENSMUSG00000026782	ENSMUST00000187709.Abi2
ENSMUSG00000026014	ENSMUST00000140485.Raph1
ENSMUSG00000026014	ENSMUST00000027168.Raph1
ENSMUSG00000026014	ENSMUST00000090293.Raph1
ENSMUSG00000026012	ENSMUST00000027165.Cd28
ENSMUSG00000026011	ENSMUST00000027164.Ctla4
ENSMUSG00000026009	ENSMUST00000027162.Icos
ENSMUSG00000026009	ENSMUST00000102827.Icos
ENSMUSG00000052062	ENSMUST00000075374.Pard3b
ENSMUSG00000052062	ENSMUST00000046673.Pard3b
ENSMUSG00000052062	ENSMUST00000094906.Pard3b
ENSMUSG00000025969	ENSMUST00000075144.Nrp2
ENSMUSG00000025969	ENSMUST00000102822.Nrp2
ENSMUSG00000025969	ENSMUST00000027112.Nrp2
ENSMUSG00000025969	ENSMUST00000114155.Nrp2
ENSMUSG00000025969	ENSMUST00000063594.Nrp2
ENSMUSG00000025969	ENSMUST00000114157.Nrp2
ENSMUSG00000040865	ENSMUST00000165066.Ino80d
ENSMUSG00000040865	ENSMUST00000097718.Ino80d
ENSMUSG00000025968	ENSMUST00000027111.Ndufs1
ENSMUSG00000025967	ENSMUST00000129339.Eef1b2
ENSMUSG00000025967	ENSMUST00000188524.Eef1b2
ENSMUSG00000046856	ENSMUST00000050536.Gpr1
ENSMUSG00000027520	ENSMUST00000114132.Zdbf2
ENSMUSG00000027520	ENSMUST00000239483.Zdbf2
ENSMUSG00000025964	ENSMUST00000087374.Adam23
ENSMUSG00000025964	ENSMUST00000114103.Adam23
ENSMUSG00000025964	ENSMUST00000114107.Adam23
ENSMUSG00000115378	ENSMUST00000226288.Gm39653
ENSMUSG00000069085	ENSMUST00000090313.Dytn
ENSMUSG00000025963	ENSMUST00000114094.Mdh1b
ENSMUSG00000025962	ENSMUST00000027103.Fastkd2
ENSMUSG00000025961	ENSMUST00000027102.4933402D24Rik
ENSMUSG00000025959	ENSMUST00000114086.Klf7
ENSMUSG00000025959	ENSMUST00000055001.Klf7
ENSMUSG00000025958	ENSMUST00000171164.Creb1
ENSMUSG00000025958	ENSMUST00000187811.Creb1
ENSMUSG00000025958	ENSMUST00000049932.Creb1
ENSMUSG00000025958	ENSMUST00000087366.Creb1
ENSMUSG00000025956	ENSMUST00000114079.Mettl21a
ENSMUSG00000070871	ENSMUST00000114077.Ccnyl1
ENSMUSG00000070871	ENSMUST00000094898.Ccnyl1
ENSMUSG00000045005	ENSMUST00000063982.Fzd5
ENSMUSG00000051344	ENSMUST00000097713.Plekhm3
ENSMUSG00000025955	ENSMUST00000162800.Akr1cl
ENSMUSG00000025955	ENSMUST00000069142.Akr1cl
ENSMUSG00000070870	ENSMUST00000087359.Cryge
ENSMUSG00000070870	ENSMUST00000161960.Cryge
ENSMUSG00000067299	ENSMUST00000045028.Crygd
ENSMUSG00000025952	ENSMUST00000027089.Crygc
ENSMUSG00000025952	ENSMUST00000114064.Crygc
